Serial Number,Area Name,Number Of Duties,Days,Time
11523,Bommanahalli,57,Friday,02:00 to 03:00
11524,Bommanahalli,73,Friday,03:00 to 04:00
11525,Bommanahalli,58,Friday,04:00 to 05:00
11526,Bommanahalli,109,Friday,05:00 to 06:00
11527,Bommanahalli,102,Friday,06:00 to 07:00
11528,Bommanahalli,73,Friday,07:00 to 08:00
11529,Bommanahalli,106,Friday,08:00 to 09:00
11530,Bommanahalli,153,Friday,09:00 to 10:00
11531,Bommanahalli,118,Friday,10:00 to 11:00
11532,Bommanahalli,86,Friday,11:00 to 12:00
11533,Bommanahalli,98,Friday,12:00 to 13:00
11534,Bommanahalli,105,Friday,13:00 to 14:00
11535,Bommanahalli,81,Friday,14:00 to 15:00
11536,Bommanahalli,90,Friday,15:00 to 16:00
11537,Bommanahalli,100,Friday,16:00 to 17:00
11538,Bommanahalli,125,Friday,17:00 to 18:00
11539,Bommanahalli,116,Friday,18:00 to 19:00
11540,Bommanahalli,121,Friday,19:00 to 20:00
11541,Bommanahalli,114,Friday,20:00 to 21:00
11542,Bommanahalli,88,Friday,21:00 to 22:00
11543,Bommanahalli,112,Friday,22:00 to 23:00
11544,Bommanahalli,90,Friday,23:00 to 00:00
11545,Bommanahalli,146,Saturday,00:00 to 01:00
11546,Bommanahalli,144,Saturday,01:00 to 02:00
11547,Bommanahalli,110,Saturday,02:00 to 03:00
11548,Bommanahalli,92,Saturday,03:00 to 04:00
11549,Bommanahalli,98,Saturday,04:00 to 05:00
11550,Bommanahalli,100,Saturday,05:00 to 06:00
11551,Bommanahalli,105,Saturday,06:00 to 07:00
11552,Bommanahalli,85,Saturday,07:00 to 08:00
11553,Bommanahalli,77,Saturday,08:00 to 09:00
11554,Bommanahalli,80,Saturday,09:00 to 10:00
11555,Bommanahalli,80,Saturday,10:00 to 11:00
11556,Bommanahalli,127,Saturday,11:00 to 12:00
11557,Bommanahalli,94,Saturday,12:00 to 13:00
11558,Bommanahalli,88,Saturday,13:00 to 14:00
11559,Bommanahalli,106,Saturday,14:00 to 15:00
11560,Bommanahalli,104,Saturday,15:00 to 16:00
11561,Bommanahalli,105,Saturday,16:00 to 17:00
11562,Bommanahalli,96,Saturday,17:00 to 18:00
11563,Bommanahalli,91,Saturday,18:00 to 19:00
11564,Bommanahalli,91,Saturday,19:00 to 20:00
11565,Bommanahalli,95,Saturday,20:00 to 21:00
11566,Bommanahalli,84,Saturday,21:00 to 22:00
11567,Bommanahalli,143,Saturday,22:00 to 23:00
11568,Bommanahalli,143,Saturday,23:00 to 00:00
11569,Bommanahalli,145,Sunday,00:00 to 01:00
11570,Bommanahalli,92,Sunday,01:00 to 02:00
11571,Bommanahalli,111,Sunday,02:00 to 03:00
11572,Bommanahalli,94,Sunday,03:00 to 04:00
11573,Bommanahalli,85,Sunday,04:00 to 05:00
11574,Bommanahalli,61,Sunday,05:00 to 06:00
11575,Bommanahalli,98,Sunday,06:00 to 07:00
11576,Bommanahalli,66,Sunday,07:00 to 08:00
11577,Bommanahalli,101,Sunday,08:00 to 09:00
11578,Bommanahalli,61,Sunday,09:00 to 10:00
11579,Bommanahalli,89,Sunday,10:00 to 11:00
11580,Bommanahalli,130,Sunday,11:00 to 12:00
11581,Bommanahalli,114,Sunday,12:00 to 13:00
11582,Bommanahalli,108,Sunday,13:00 to 14:00
11583,Bommanahalli,114,Sunday,14:00 to 15:00
11584,Bommanahalli,80,Sunday,15:00 to 16:00
11585,Bommanahalli,96,Sunday,16:00 to 17:00
11586,Bommanahalli,112,Sunday,17:00 to 18:00
11587,Bommanahalli,117,Sunday,18:00 to 19:00
11588,Bommanahalli,93,Sunday,19:00 to 20:00
11589,Bommanahalli,89,Sunday,20:00 to 21:00
11590,Bommanahalli,81,Sunday,21:00 to 22:00
11591,Bommanahalli,139,Sunday,22:00 to 23:00
11592,Bommanahalli,106,Sunday,23:00 to 00:00
11593,Bommasandra Industrial Area,63,Monday,00:00 to 01:00
11594,Bommasandra Industrial Area,86,Monday,01:00 to 02:00
11595,Bommasandra Industrial Area,76,Monday,02:00 to 03:00
11596,Bommasandra Industrial Area,74,Monday,03:00 to 04:00
11597,Bommasandra Industrial Area,74,Monday,04:00 to 05:00
11598,Bommasandra Industrial Area,73,Monday,05:00 to 06:00
11599,Bommasandra Industrial Area,74,Monday,06:00 to 07:00
11600,Bommasandra Industrial Area,124,Monday,07:00 to 08:00
11601,Bommasandra Industrial Area,157,Monday,08:00 to 09:00
11602,Bommasandra Industrial Area,135,Monday,09:00 to 10:00
11603,Bommasandra Industrial Area,128,Monday,10:00 to 11:00
11604,Bommasandra Industrial Area,123,Monday,11:00 to 12:00
11605,Bommasandra Industrial Area,70,Monday,12:00 to 13:00
11606,Bommasandra Industrial Area,112,Monday,13:00 to 14:00
11607,Bommasandra Industrial Area,121,Monday,14:00 to 15:00
11608,Bommasandra Industrial Area,126,Monday,15:00 to 16:00
11609,Bommasandra Industrial Area,113,Monday,16:00 to 17:00
11610,Bommasandra Industrial Area,130,Monday,17:00 to 18:00
11611,Bommasandra Industrial Area,148,Monday,18:00 to 19:00
11612,Bommasandra Industrial Area,122,Monday,19:00 to 20:00
11613,Bommasandra Industrial Area,86,Monday,20:00 to 21:00
11614,Bommasandra Industrial Area,80,Monday,21:00 to 22:00
11615,Bommasandra Industrial Area,93,Monday,22:00 to 23:00
11616,Bommasandra Industrial Area,117,Monday,23:00 to 00:00
11617,Bommasandra Industrial Area,63,Tuesday,00:00 to 01:00
11618,Bommasandra Industrial Area,57,Tuesday,01:00 to 02:00
11619,Bommasandra Industrial Area,81,Tuesday,02:00 to 03:00
11620,Bommasandra Industrial Area,50,Tuesday,03:00 to 04:00
11621,Bommasandra Industrial Area,85,Tuesday,04:00 to 05:00
11622,Bommasandra Industrial Area,94,Tuesday,05:00 to 06:00
11623,Bommasandra Industrial Area,82,Tuesday,06:00 to 07:00
11624,Bommasandra Industrial Area,103,Tuesday,07:00 to 08:00
11625,Bommasandra Industrial Area,131,Tuesday,08:00 to 09:00
11626,Bommasandra Industrial Area,119,Tuesday,09:00 to 10:00
11627,Bommasandra Industrial Area,127,Tuesday,10:00 to 11:00
11628,Bommasandra Industrial Area,107,Tuesday,11:00 to 12:00
11629,Bommasandra Industrial Area,87,Tuesday,12:00 to 13:00
11630,Bommasandra Industrial Area,122,Tuesday,13:00 to 14:00
11631,Bommasandra Industrial Area,89,Tuesday,14:00 to 15:00
11632,Bommasandra Industrial Area,126,Tuesday,15:00 to 16:00
11633,Bommasandra Industrial Area,95,Tuesday,16:00 to 17:00
11634,Bommasandra Industrial Area,110,Tuesday,17:00 to 18:00
11635,Bommasandra Industrial Area,161,Tuesday,18:00 to 19:00
11636,Bommasandra Industrial Area,114,Tuesday,19:00 to 20:00
11637,Bommasandra Industrial Area,113,Tuesday,20:00 to 21:00
11638,Bommasandra Industrial Area,74,Tuesday,21:00 to 22:00
11639,Bommasandra Industrial Area,125,Tuesday,22:00 to 23:00
11640,Bommasandra Industrial Area,118,Tuesday,23:00 to 00:00
11641,Bommasandra Industrial Area,88,Wednesday,00:00 to 01:00
11642,Bommasandra Industrial Area,58,Wednesday,01:00 to 02:00
11643,Bommasandra Industrial Area,84,Wednesday,02:00 to 03:00
11644,Bommasandra Industrial Area,72,Wednesday,03:00 to 04:00
11645,Bommasandra Industrial Area,87,Wednesday,04:00 to 05:00
11646,Bommasandra Industrial Area,92,Wednesday,05:00 to 06:00
11647,Bommasandra Industrial Area,122,Wednesday,06:00 to 07:00
11648,Bommasandra Industrial Area,76,Wednesday,07:00 to 08:00
11649,Bommasandra Industrial Area,131,Wednesday,08:00 to 09:00
11650,Bommasandra Industrial Area,141,Wednesday,09:00 to 10:00
11651,Bommasandra Industrial Area,110,Wednesday,10:00 to 11:00
11652,Bommasandra Industrial Area,78,Wednesday,11:00 to 12:00
11653,Bommasandra Industrial Area,89,Wednesday,12:00 to 13:00
11654,Bommasandra Industrial Area,128,Wednesday,13:00 to 14:00
11655,Bommasandra Industrial Area,98,Wednesday,14:00 to 15:00
11656,Bommasandra Industrial Area,98,Wednesday,15:00 to 16:00
11657,Bommasandra Industrial Area,72,Wednesday,16:00 to 17:00
11658,Bommasandra Industrial Area,167,Wednesday,17:00 to 18:00
11659,Bommasandra Industrial Area,125,Wednesday,18:00 to 19:00
11660,Bommasandra Industrial Area,145,Wednesday,19:00 to 20:00
11661,Bommasandra Industrial Area,73,Wednesday,20:00 to 21:00
11662,Bommasandra Industrial Area,120,Wednesday,21:00 to 22:00
11663,Bommasandra Industrial Area,96,Wednesday,22:00 to 23:00
11664,Bommasandra Industrial Area,124,Wednesday,23:00 to 00:00
11665,Bommasandra Industrial Area,70,Thursday,00:00 to 01:00
11666,Bommasandra Industrial Area,78,Thursday,01:00 to 02:00
11667,Bommasandra Industrial Area,85,Thursday,02:00 to 03:00
11668,Bommasandra Industrial Area,50,Thursday,03:00 to 04:00
11669,Bommasandra Industrial Area,73,Thursday,04:00 to 05:00
11670,Bommasandra Industrial Area,103,Thursday,05:00 to 06:00
11671,Bommasandra Industrial Area,70,Thursday,06:00 to 07:00
11672,Bommasandra Industrial Area,109,Thursday,07:00 to 08:00
11673,Bommasandra Industrial Area,144,Thursday,08:00 to 09:00
11674,Bommasandra Industrial Area,159,Thursday,09:00 to 10:00
11675,Bommasandra Industrial Area,131,Thursday,10:00 to 11:00
11676,Bommasandra Industrial Area,114,Thursday,11:00 to 12:00
11677,Bommasandra Industrial Area,117,Thursday,12:00 to 13:00
11678,Bommasandra Industrial Area,92,Thursday,13:00 to 14:00
11679,Bommasandra Industrial Area,126,Thursday,14:00 to 15:00
11680,Bommasandra Industrial Area,101,Thursday,15:00 to 16:00
11681,Bommasandra Industrial Area,114,Thursday,16:00 to 17:00
11682,Bommasandra Industrial Area,132,Thursday,17:00 to 18:00
11683,Bommasandra Industrial Area,151,Thursday,18:00 to 19:00
11684,Bommasandra Industrial Area,163,Thursday,19:00 to 20:00
11685,Bommasandra Industrial Area,83,Thursday,20:00 to 21:00
11686,Bommasandra Industrial Area,73,Thursday,21:00 to 22:00
11687,Bommasandra Industrial Area,70,Thursday,22:00 to 23:00
11688,Bommasandra Industrial Area,70,Thursday,23:00 to 00:00
11689,Bommasandra Industrial Area,56,Friday,00:00 to 01:00
11690,Bommasandra Industrial Area,87,Friday,01:00 to 02:00
11691,Bommasandra Industrial Area,62,Friday,02:00 to 03:00
11692,Bommasandra Industrial Area,59,Friday,03:00 to 04:00
11693,Bommasandra Industrial Area,65,Friday,04:00 to 05:00
11694,Bommasandra Industrial Area,103,Friday,05:00 to 06:00
11695,Bommasandra Industrial Area,122,Friday,06:00 to 07:00
11696,Bommasandra Industrial Area,84,Friday,07:00 to 08:00
11697,Bommasandra Industrial Area,139,Friday,08:00 to 09:00
11698,Bommasandra Industrial Area,123,Friday,09:00 to 10:00
11699,Bommasandra Industrial Area,111,Friday,10:00 to 11:00
11700,Bommasandra Industrial Area,92,Friday,11:00 to 12:00
11701,Bommasandra Industrial Area,87,Friday,12:00 to 13:00
11702,Bommasandra Industrial Area,93,Friday,13:00 to 14:00
11703,Bommasandra Industrial Area,74,Friday,14:00 to 15:00
11704,Bommasandra Industrial Area,86,Friday,15:00 to 16:00
11705,Bommasandra Industrial Area,99,Friday,16:00 to 17:00
11706,Bommasandra Industrial Area,113,Friday,17:00 to 18:00
11707,Bommasandra Industrial Area,134,Friday,18:00 to 19:00
11708,Bommasandra Industrial Area,137,Friday,19:00 to 20:00
11709,Bommasandra Industrial Area,110,Friday,20:00 to 21:00
11710,Bommasandra Industrial Area,72,Friday,21:00 to 22:00
11711,Bommasandra Industrial Area,76,Friday,22:00 to 23:00
11712,Bommasandra Industrial Area,101,Friday,23:00 to 00:00
11713,Bommasandra Industrial Area,100,Saturday,00:00 to 01:00
11714,Bommasandra Industrial Area,120,Saturday,01:00 to 02:00
11715,Bommasandra Industrial Area,110,Saturday,02:00 to 03:00
11716,Bommasandra Industrial Area,110,Saturday,03:00 to 04:00
11717,Bommasandra Industrial Area,71,Saturday,04:00 to 05:00
11718,Bommasandra Industrial Area,103,Saturday,05:00 to 06:00
11719,Bommasandra Industrial Area,88,Saturday,06:00 to 07:00
11720,Bommasandra Industrial Area,110,Saturday,07:00 to 08:00
11721,Bommasandra Industrial Area,74,Saturday,08:00 to 09:00
11722,Bommasandra Industrial Area,100,Saturday,09:00 to 10:00
11723,Bommasandra Industrial Area,89,Saturday,10:00 to 11:00
11724,Bommasandra Industrial Area,117,Saturday,11:00 to 12:00
11725,Bommasandra Industrial Area,81,Saturday,12:00 to 13:00
11726,Bommasandra Industrial Area,110,Saturday,13:00 to 14:00
11727,Bommasandra Industrial Area,122,Saturday,14:00 to 15:00
11728,Bommasandra Industrial Area,94,Saturday,15:00 to 16:00
11729,Bommasandra Industrial Area,88,Saturday,16:00 to 17:00
11730,Bommasandra Industrial Area,96,Saturday,17:00 to 18:00
11731,Bommasandra Industrial Area,100,Saturday,18:00 to 19:00
11732,Bommasandra Industrial Area,87,Saturday,19:00 to 20:00
11733,Bommasandra Industrial Area,78,Saturday,20:00 to 21:00
11734,Bommasandra Industrial Area,103,Saturday,21:00 to 22:00
11735,Bommasandra Industrial Area,122,Saturday,22:00 to 23:00
11736,Bommasandra Industrial Area,114,Saturday,23:00 to 00:00
11737,Bommasandra Industrial Area,112,Sunday,00:00 to 01:00
11738,Bommasandra Industrial Area,105,Sunday,01:00 to 02:00
11739,Bommasandra Industrial Area,97,Sunday,02:00 to 03:00
11740,Bommasandra Industrial Area,101,Sunday,03:00 to 04:00
11741,Bommasandra Industrial Area,74,Sunday,04:00 to 05:00
11742,Bommasandra Industrial Area,71,Sunday,05:00 to 06:00
11743,Bommasandra Industrial Area,62,Sunday,06:00 to 07:00
11744,Bommasandra Industrial Area,91,Sunday,07:00 to 08:00
11745,Bommasandra Industrial Area,89,Sunday,08:00 to 09:00
11746,Bommasandra Industrial Area,75,Sunday,09:00 to 10:00
11747,Bommasandra Industrial Area,124,Sunday,10:00 to 11:00
11748,Bommasandra Industrial Area,125,Sunday,11:00 to 12:00
11749,Bommasandra Industrial Area,100,Sunday,12:00 to 13:00
11750,Bommasandra Industrial Area,129,Sunday,13:00 to 14:00
11751,Bommasandra Industrial Area,102,Sunday,14:00 to 15:00
11752,Bommasandra Industrial Area,125,Sunday,15:00 to 16:00
11753,Bommasandra Industrial Area,107,Sunday,16:00 to 17:00
11754,Bommasandra Industrial Area,121,Sunday,17:00 to 18:00
11755,Bommasandra Industrial Area,112,Sunday,18:00 to 19:00
11756,Bommasandra Industrial Area,68,Sunday,19:00 to 20:00
11757,Bommasandra Industrial Area,105,Sunday,20:00 to 21:00
11758,Bommasandra Industrial Area,69,Sunday,21:00 to 22:00
11759,Bommasandra Industrial Area,109,Sunday,22:00 to 23:00
11760,Bommasandra Industrial Area,113,Sunday,23:00 to 00:00
11761,Brigade Road,81,Monday,00:00 to 01:00
11762,Brigade Road,78,Monday,01:00 to 02:00
11763,Brigade Road,52,Monday,02:00 to 03:00
11764,Brigade Road,76,Monday,03:00 to 04:00
11765,Brigade Road,66,Monday,04:00 to 05:00
11766,Brigade Road,76,Monday,05:00 to 06:00
11767,Brigade Road,72,Monday,06:00 to 07:00
11768,Brigade Road,121,Monday,07:00 to 08:00
11769,Brigade Road,150,Monday,08:00 to 09:00
11770,Brigade Road,148,Monday,09:00 to 10:00
11771,Brigade Road,136,Monday,10:00 to 11:00
11772,Brigade Road,130,Monday,11:00 to 12:00
11773,Brigade Road,84,Monday,12:00 to 13:00
11774,Brigade Road,126,Monday,13:00 to 14:00
11775,Brigade Road,83,Monday,14:00 to 15:00
11776,Brigade Road,125,Monday,15:00 to 16:00
11777,Brigade Road,70,Monday,16:00 to 17:00
11778,Brigade Road,135,Monday,17:00 to 18:00
11779,Brigade Road,124,Monday,18:00 to 19:00
11780,Brigade Road,167,Monday,19:00 to 20:00
11781,Brigade Road,79,Monday,20:00 to 21:00
11782,Brigade Road,108,Monday,21:00 to 22:00
11783,Brigade Road,126,Monday,22:00 to 23:00
11784,Brigade Road,72,Monday,23:00 to 00:00
11785,Brigade Road,70,Tuesday,00:00 to 01:00
11786,Brigade Road,82,Tuesday,01:00 to 02:00
11787,Brigade Road,74,Tuesday,02:00 to 03:00
11788,Brigade Road,88,Tuesday,03:00 to 04:00
11789,Brigade Road,66,Tuesday,04:00 to 05:00
11790,Brigade Road,124,Tuesday,05:00 to 06:00
11791,Brigade Road,74,Tuesday,06:00 to 07:00
11792,Brigade Road,94,Tuesday,07:00 to 08:00
11793,Brigade Road,136,Tuesday,08:00 to 09:00
11794,Brigade Road,131,Tuesday,09:00 to 10:00
11795,Brigade Road,125,Tuesday,10:00 to 11:00
11796,Brigade Road,80,Tuesday,11:00 to 12:00
11797,Brigade Road,114,Tuesday,12:00 to 13:00
11798,Brigade Road,102,Tuesday,13:00 to 14:00
11799,Brigade Road,109,Tuesday,14:00 to 15:00
11800,Brigade Road,127,Tuesday,15:00 to 16:00
11801,Brigade Road,110,Tuesday,16:00 to 17:00
11802,Brigade Road,121,Tuesday,17:00 to 18:00
11803,Brigade Road,114,Tuesday,18:00 to 19:00
11804,Brigade Road,134,Tuesday,19:00 to 20:00
11805,Brigade Road,78,Tuesday,20:00 to 21:00
11806,Brigade Road,91,Tuesday,21:00 to 22:00
11807,Brigade Road,110,Tuesday,22:00 to 23:00
11808,Brigade Road,128,Tuesday,23:00 to 00:00
11809,Brigade Road,87,Wednesday,00:00 to 01:00
11810,Brigade Road,59,Wednesday,01:00 to 02:00
11811,Brigade Road,57,Wednesday,02:00 to 03:00
11812,Brigade Road,61,Wednesday,03:00 to 04:00
11813,Brigade Road,71,Wednesday,04:00 to 05:00
11814,Brigade Road,113,Wednesday,05:00 to 06:00
11815,Brigade Road,130,Wednesday,06:00 to 07:00
11816,Brigade Road,129,Wednesday,07:00 to 08:00
11817,Brigade Road,149,Wednesday,08:00 to 09:00
11818,Brigade Road,103,Wednesday,09:00 to 10:00
11819,Brigade Road,138,Wednesday,10:00 to 11:00
11820,Brigade Road,121,Wednesday,11:00 to 12:00
11821,Brigade Road,74,Wednesday,12:00 to 13:00
11822,Brigade Road,78,Wednesday,13:00 to 14:00
11823,Brigade Road,122,Wednesday,14:00 to 15:00
11824,Brigade Road,70,Wednesday,15:00 to 16:00
11825,Brigade Road,105,Wednesday,16:00 to 17:00
11826,Brigade Road,111,Wednesday,17:00 to 18:00
11827,Brigade Road,165,Wednesday,18:00 to 19:00
11828,Brigade Road,139,Wednesday,19:00 to 20:00
11829,Brigade Road,111,Wednesday,20:00 to 21:00
11830,Brigade Road,87,Wednesday,21:00 to 22:00
11831,Brigade Road,81,Wednesday,22:00 to 23:00
11832,Brigade Road,118,Wednesday,23:00 to 00:00
11833,Brigade Road,84,Thursday,00:00 to 01:00
11834,Brigade Road,66,Thursday,01:00 to 02:00
11835,Brigade Road,73,Thursday,02:00 to 03:00
11836,Brigade Road,67,Thursday,03:00 to 04:00
11837,Brigade Road,74,Thursday,04:00 to 05:00
11838,Brigade Road,107,Thursday,05:00 to 06:00
11839,Brigade Road,101,Thursday,06:00 to 07:00
11840,Brigade Road,101,Thursday,07:00 to 08:00
11841,Brigade Road,105,Thursday,08:00 to 09:00
11842,Brigade Road,101,Thursday,09:00 to 10:00
11843,Brigade Road,115,Thursday,10:00 to 11:00
11844,Brigade Road,90,Thursday,11:00 to 12:00
11845,Brigade Road,70,Thursday,12:00 to 13:00
11846,Brigade Road,89,Thursday,13:00 to 14:00
11847,Brigade Road,81,Thursday,14:00 to 15:00
11848,Brigade Road,121,Thursday,15:00 to 16:00
11849,Brigade Road,92,Thursday,16:00 to 17:00
11850,Brigade Road,161,Thursday,17:00 to 18:00
11851,Brigade Road,119,Thursday,18:00 to 19:00
11852,Brigade Road,132,Thursday,19:00 to 20:00
11853,Brigade Road,95,Thursday,20:00 to 21:00
11854,Brigade Road,73,Thursday,21:00 to 22:00
11855,Brigade Road,93,Thursday,22:00 to 23:00
11856,Brigade Road,111,Thursday,23:00 to 00:00
11857,Brigade Road,71,Friday,00:00 to 01:00
11858,Brigade Road,89,Friday,01:00 to 02:00
11859,Brigade Road,85,Friday,02:00 to 03:00
11860,Brigade Road,77,Friday,03:00 to 04:00
11861,Brigade Road,77,Friday,04:00 to 05:00
11862,Brigade Road,118,Friday,05:00 to 06:00
11863,Brigade Road,122,Friday,06:00 to 07:00
11864,Brigade Road,110,Friday,07:00 to 08:00
11865,Brigade Road,115,Friday,08:00 to 09:00
11866,Brigade Road,113,Friday,09:00 to 10:00
11867,Brigade Road,147,Friday,10:00 to 11:00
11868,Brigade Road,116,Friday,11:00 to 12:00
11869,Brigade Road,73,Friday,12:00 to 13:00
11870,Brigade Road,107,Friday,13:00 to 14:00
11871,Brigade Road,96,Friday,14:00 to 15:00
11872,Brigade Road,109,Friday,15:00 to 16:00
11873,Brigade Road,73,Friday,16:00 to 17:00
11874,Brigade Road,112,Friday,17:00 to 18:00
11875,Brigade Road,122,Friday,18:00 to 19:00
11876,Brigade Road,148,Friday,19:00 to 20:00
11877,Brigade Road,97,Friday,20:00 to 21:00
11878,Brigade Road,77,Friday,21:00 to 22:00
11879,Brigade Road,86,Friday,22:00 to 23:00
11880,Brigade Road,94,Friday,23:00 to 00:00
11881,Brigade Road,134,Saturday,00:00 to 01:00
11882,Brigade Road,92,Saturday,01:00 to 02:00
11883,Brigade Road,97,Saturday,02:00 to 03:00
11884,Brigade Road,98,Saturday,03:00 to 04:00
11885,Brigade Road,64,Saturday,04:00 to 05:00
11886,Brigade Road,107,Saturday,05:00 to 06:00
11887,Brigade Road,73,Saturday,06:00 to 07:00
11888,Brigade Road,62,Saturday,07:00 to 08:00
11889,Brigade Road,82,Saturday,08:00 to 09:00
11890,Brigade Road,108,Saturday,09:00 to 10:00
11891,Brigade Road,112,Saturday,10:00 to 11:00
11892,Brigade Road,117,Saturday,11:00 to 12:00
11893,Brigade Road,126,Saturday,12:00 to 13:00
11894,Brigade Road,104,Saturday,13:00 to 14:00
11895,Brigade Road,84,Saturday,14:00 to 15:00
11896,Brigade Road,126,Saturday,15:00 to 16:00
11897,Brigade Road,122,Saturday,16:00 to 17:00
11898,Brigade Road,109,Saturday,17:00 to 18:00
11899,Brigade Road,116,Saturday,18:00 to 19:00
11900,Brigade Road,97,Saturday,19:00 to 20:00
11901,Brigade Road,87,Saturday,20:00 to 21:00
11902,Brigade Road,94,Saturday,21:00 to 22:00
11903,Brigade Road,138,Saturday,22:00 to 23:00
11904,Brigade Road,126,Saturday,23:00 to 00:00
11905,Brigade Road,123,Sunday,00:00 to 01:00
11906,Brigade Road,123,Sunday,01:00 to 02:00
11907,Brigade Road,136,Sunday,02:00 to 03:00
11908,Brigade Road,82,Sunday,03:00 to 04:00
11909,Brigade Road,60,Sunday,04:00 to 05:00
11910,Brigade Road,65,Sunday,05:00 to 06:00
11911,Brigade Road,101,Sunday,06:00 to 07:00
11912,Brigade Road,107,Sunday,07:00 to 08:00
11913,Brigade Road,101,Sunday,08:00 to 09:00
11914,Brigade Road,86,Sunday,09:00 to 10:00
11915,Brigade Road,98,Sunday,10:00 to 11:00
11916,Brigade Road,114,Sunday,11:00 to 12:00
11917,Brigade Road,123,Sunday,12:00 to 13:00
11918,Brigade Road,107,Sunday,13:00 to 14:00
11919,Brigade Road,83,Sunday,14:00 to 15:00
11920,Brigade Road,106,Sunday,15:00 to 16:00
11921,Brigade Road,101,Sunday,16:00 to 17:00
11922,Brigade Road,125,Sunday,17:00 to 18:00
11923,Brigade Road,98,Sunday,18:00 to 19:00
11924,Brigade Road,104,Sunday,19:00 to 20:00
11925,Brigade Road,99,Sunday,20:00 to 21:00
11926,Brigade Road,98,Sunday,21:00 to 22:00
11927,Brigade Road,129,Sunday,22:00 to 23:00
11928,Brigade Road,102,Sunday,23:00 to 00:00
11929,Byatarayanapura,86,Monday,00:00 to 01:00
11930,Byatarayanapura,60,Monday,01:00 to 02:00
11931,Byatarayanapura,88,Monday,02:00 to 03:00
11932,Byatarayanapura,82,Monday,03:00 to 04:00
11933,Byatarayanapura,67,Monday,04:00 to 05:00
11934,Byatarayanapura,78,Monday,05:00 to 06:00
11935,Byatarayanapura,129,Monday,06:00 to 07:00
11936,Byatarayanapura,124,Monday,07:00 to 08:00
11937,Byatarayanapura,155,Monday,08:00 to 09:00
11938,Byatarayanapura,135,Monday,09:00 to 10:00
11939,Byatarayanapura,153,Monday,10:00 to 11:00
11940,Byatarayanapura,73,Monday,11:00 to 12:00
11941,Byatarayanapura,113,Monday,12:00 to 13:00
11942,Byatarayanapura,104,Monday,13:00 to 14:00
11943,Byatarayanapura,116,Monday,14:00 to 15:00
11944,Byatarayanapura,95,Monday,15:00 to 16:00
11945,Byatarayanapura,78,Monday,16:00 to 17:00
11946,Byatarayanapura,153,Monday,17:00 to 18:00
11947,Byatarayanapura,122,Monday,18:00 to 19:00
11948,Byatarayanapura,149,Monday,19:00 to 20:00
11949,Byatarayanapura,96,Monday,20:00 to 21:00
11950,Byatarayanapura,119,Monday,21:00 to 22:00
11951,Byatarayanapura,109,Monday,22:00 to 23:00
11952,Byatarayanapura,104,Monday,23:00 to 00:00
11953,Byatarayanapura,54,Tuesday,00:00 to 01:00
11954,Byatarayanapura,85,Tuesday,01:00 to 02:00
11955,Byatarayanapura,70,Tuesday,02:00 to 03:00
11956,Byatarayanapura,85,Tuesday,03:00 to 04:00
11957,Byatarayanapura,69,Tuesday,04:00 to 05:00
11958,Byatarayanapura,109,Tuesday,05:00 to 06:00
11959,Byatarayanapura,125,Tuesday,06:00 to 07:00
11960,Byatarayanapura,106,Tuesday,07:00 to 08:00
11961,Byatarayanapura,126,Tuesday,08:00 to 09:00
11962,Byatarayanapura,138,Tuesday,09:00 to 10:00
11963,Byatarayanapura,122,Tuesday,10:00 to 11:00
11964,Byatarayanapura,105,Tuesday,11:00 to 12:00
11965,Byatarayanapura,119,Tuesday,12:00 to 13:00
11966,Byatarayanapura,82,Tuesday,13:00 to 14:00
11967,Byatarayanapura,80,Tuesday,14:00 to 15:00
11968,Byatarayanapura,74,Tuesday,15:00 to 16:00
11969,Byatarayanapura,89,Tuesday,16:00 to 17:00
11970,Byatarayanapura,146,Tuesday,17:00 to 18:00
11971,Byatarayanapura,152,Tuesday,18:00 to 19:00
11972,Byatarayanapura,143,Tuesday,19:00 to 20:00
11973,Byatarayanapura,89,Tuesday,20:00 to 21:00
11974,Byatarayanapura,120,Tuesday,21:00 to 22:00
11975,Byatarayanapura,130,Tuesday,22:00 to 23:00
11976,Byatarayanapura,122,Tuesday,23:00 to 00:00
11977,Byatarayanapura,65,Wednesday,00:00 to 01:00
11978,Byatarayanapura,55,Wednesday,01:00 to 02:00
11979,Byatarayanapura,58,Wednesday,02:00 to 03:00
11980,Byatarayanapura,59,Wednesday,03:00 to 04:00
11981,Byatarayanapura,81,Wednesday,04:00 to 05:00
11982,Byatarayanapura,85,Wednesday,05:00 to 06:00
11983,Byatarayanapura,88,Wednesday,06:00 to 07:00
11984,Byatarayanapura,83,Wednesday,07:00 to 08:00
11985,Byatarayanapura,159,Wednesday,08:00 to 09:00
11986,Byatarayanapura,160,Wednesday,09:00 to 10:00
11987,Byatarayanapura,140,Wednesday,10:00 to 11:00
11988,Byatarayanapura,119,Wednesday,11:00 to 12:00
11989,Byatarayanapura,78,Wednesday,12:00 to 13:00
11990,Byatarayanapura,70,Wednesday,13:00 to 14:00
11991,Byatarayanapura,102,Wednesday,14:00 to 15:00
11992,Byatarayanapura,77,Wednesday,15:00 to 16:00
11993,Byatarayanapura,114,Wednesday,16:00 to 17:00
11994,Byatarayanapura,122,Wednesday,17:00 to 18:00
